Date,Open,High,Low,Close,Adj Close,Volume,,12 EMA,26 EMA,MACD,Signal Line,,Close Change,Up,Down,Up 14 SMA,Down 14 SMA,RSI,,20 SMA,20 Std Dev,BB Upper,BB Lower,,OBV
08/07/2013,15.003929,15.035714,14.666071,14.823214,13.020283,298138400,,,,,,,,,,,,,,,,,,,0
09/07/2013,14.771429,15.125,14.656429,15.083929,13.249289,352584400,,,,,,,0.260715,0.260715,0,,,,,,,,,,352584400
10/07/2013,14.985714,15.171429,14.9375,15.026071,13.198468,281405600,,,,,,,-0.057858,0,0.057858,,,,,,,,,,71178800
11/07/2013,15.105357,15.294643,15.041786,15.260357,13.404256,326292400,,,,,,,0.234286,0.234286,0,,,,,,,,,,397471200
12/07/2013,15.273214,15.349643,15.121786,15.2325,13.379789,279563200,,,,,,,-0.027857,0,0.027857,,,,,,,,,,117908000
15/07/2013,15.178929,15.409286,15.171429,15.265714,13.408961,241917200,,,,,,,0.033214,0.033214,0,,,,,,,,,,359825200
16/07/2013,15.232857,15.3825,15.148929,15.364286,13.495547,216538000,,,,,,,0.098572,0.098572,0,,,,,,,,,,576363200
17/07/2013,15.346429,15.436429,15.293571,15.368214,13.498992,198990400,,,,,,,0.003928,0.003928,0,,,,,,,,,,775353600
18/07/2013,15.477857,15.531071,15.378929,15.42,13.544483,218878800,,,,,,,0.051786,0.051786,0,,,,,,,,,,994232400
19/07/2013,15.467857,15.499286,15.155357,15.176786,13.330851,268721600,,,,,,,-0.243214,0,0.243214,,,,,,,,,,725510800
22/07/2013,15.337857,15.348214,15.195357,15.225357,13.373512,207796400,,,,,,,0.048571,0.048571,0,,,,,,,,,,933307200
23/07/2013,15.214286,15.248571,14.953929,14.963929,13.143885,369395600,,15.18419642,,,,,-0.261428,0,0.261428,,,,,,,,,,563911600
24/07/2013,15.676071,15.878214,15.545,15.7325,13.818974,591936800,,15.26855081,,,,,0.768571,0.768571,0,,,,,,,,,,1155848400
25/07/2013,15.739286,15.764286,15.564643,15.660714,13.75592,229493600,,15.32888361,,,,,-0.071786,0,0.071786,,,,,,,,,,926354800
26/07/2013,15.546429,15.751429,15.512143,15.749643,13.83403,200152400,,15.39361583,,,,,0.088929,0.088929,0,0.113469429,0.047295929,70.580771,,,,,,,1126507200
29/07/2013,15.742857,16.071072,15.721429,15.9925,14.04735,248057600,,15.48575185,,,,,0.242857,0.242857,0,0.112193857,0.047295929,70.34548115,,,,,,,1374564800
30/07/2013,16.07,16.326786,16.043928,16.190001,14.220831,309422400,,15.59409788,,,,,0.197501,0.197501,0,0.126301071,0.043163214,74.52961012,,,,,,,1683987200
31/07/2013,16.249643,16.33357,16.051071,16.161785,14.196044,322957600,,15.68143436,,,,,-0.028216,0,0.028216,0.109566357,0.045178643,70.8044571,,,,,,,1361029600
01/08/2013,16.276787,16.314285,16.187857,16.309999,14.326232,206250800,,15.77813661,,,,,0.148214,0.148214,0,0.120153071,0.043188857,73.55923398,,,,,,,1567280400
02/08/2013,16.3575,16.530357,16.309286,16.519285,14.510066,274783600,,15.89215944,,,,,0.209286,0.209286,0,0.132729643,0.043188857,75.44950807,,15.5263392,0.475871891,16.47808298,14.57459542,,1842064000
05/08/2013,16.596071,16.809643,16.505358,16.766071,14.726836,318855600,,16.02660737,,,,,0.246786,0.246786,0,0.143316357,0.043188857,76.84308328,,15.62348205,0.518791691,16.66106543,14.58589867,,2160919600
06/08/2013,16.715,16.853214,16.506071,16.616072,14.595078,334857600,,16.11729424,,,,,-0.149999,0,0.149999,0.143035786,0.053903071,72.62953984,,15.7000892,0.545877302,16.7918438,14.6083346,,1826062000
07/08/2013,16.564285,16.678572,16.491785,16.606428,14.586605,298858000,,16.19254558,,,,,-0.009644,0,0.009644,0.139336786,0.054591929,71.84948667,,15.77910705,0.556862355,16.89283176,14.66538234,,1527204000
08/08/2013,16.566429,16.575001,16.355356,16.464643,14.557558,255777200,,16.23440673,,,,,-0.141785,0,0.141785,0.139336786,0.047347,74.63786166,,15.83932135,0.562594718,16.96451079,14.71413191,,1271426800
